condition,R,mean_flip,std_flip,worst_flip,n_valid,n_exp
E2M6+block,100.0,0.006726384023890983,0.002270712346120582,0.010126582278481013,7880,2
E3M6+block,100.0,0.0016491414777795072,0.001392964512924769,0.0037926675094816687,7875,3
"E4M3+FP32acc (scalar, v2-ref)",100.0,0.0030303030303030303,0.0064678022600331815,0.020202020202020204,989,
E4M6+block,100.0,0.0013966017023361785,0.0006844902473244603,0.002544529262086514,7880,4
E5M6+block,100.0,0.0026625922473252754,0.002154418832085211,0.0063532401524777635,7876,5
E6M6+block,100.0,0.0018995623885886173,0.0015212847916296058,0.0050568900126422255,7888,6
"NFE-13 bare (scalar, v2-ref)",100.0,0.00101010101010101,0.0030303030303030303,0.010101010101010102,989,
E2M6+block,10000.0,0.0028081482664082335,0.0014842061060728812,0.005076142131979695,7830,2
E3M6+block,10000.0,0.00025477707006369424,0.0007643312101910829,0.0025477707006369425,7812,3
"E4M3+FP32acc (scalar, v2-ref)",10000.0,0.002094298245614035,0.0041886682505105025,0.010526315789473684,976,
E4M6+block,10000.0,0.0006417037722674131,0.0008625184909292274,0.002577319587628866,7820,4
E5M6+block,10000.0,0.0006390829330662227,0.0006391065545330171,0.0012903225806451613,7837,5
E6M6+block,10000.0,0.0006374433401548794,0.0006374567457260174,0.001282051282051282,7847,6
"NFE-13 bare (scalar, v2-ref)",10000.0,0.0,0.0,0.0,976,
E2M6+block,1000000.0,0.0014142287228834534,0.001344778309020013,0.003870967741935484,7801,2
E3M6+block,1000000.0,0.00012853470437017994,0.00038560411311053976,0.0012853470437017994,7792,3
"E4M3+FP32acc (scalar, v2-ref)",1000000.0,0.0,0.0,0.0,979,
E4M6+block,1000000.0,0.0,0.0,0.0,7789,4
E5M6+block,1000000.0,0.0,0.0,0.0,7777,5
E6M6+block,1000000.0,0.0002554278416347382,0.0007662835249042146,0.002554278416347382,7817,6
"NFE-13 bare (scalar, v2-ref)",1000000.0,0.0,0.0,0.0,979,
E2M6+block,100000000.0,0.0005144730605744108,0.0006301019139864584,0.001288659793814433,7752,2
E3M6+block,100000000.0,0.0,0.0,0.0,7779,3
"E4M3+FP32acc (scalar, v2-ref)",100000000.0,0.0,0.0,0.0,960,
E4M6+block,100000000.0,0.0,0.0,0.0,7756,4
E5M6+block,100000000.0,0.0,0.0,0.0,7757,5
E6M6+block,100000000.0,0.0001288659793814433,0.0003865979381443299,0.001288659793814433,7749,6
"NFE-13 bare (scalar, v2-ref)",100000000.0,0.0,0.0,0.0,960,
E2M6+block,10000000000.0,0.0,0.0,0.0,7723,2
E3M6+block,10000000000.0,0.0,0.0,0.0,7705,3
"E4M3+FP32acc (scalar, v2-ref)",10000000000.0,0.0,0.0,0.0,964,
E4M6+block,10000000000.0,0.0,0.0,0.0,7699,4
E5M6+block,10000000000.0,0.0,0.0,0.0,7739,5
E6M6+block,10000000000.0,0.0,0.0,0.0,7720,6
"NFE-13 bare (scalar, v2-ref)",10000000000.0,0.0,0.0,0.0,964,

mlp_format,accuracy_pct
FP64,96.66666666666667
2,96.66666666666667
3,96.66666666666667
4,96.66666666666667
5,96.66666666666667
6,96.66666666666667

chain_format_n_exp,mean_alignment
2,0.9562906753649171
3,0.9740136306334122
4,0.9685804036480462
5,0.9843642351177893
6,0.9786651882808449
