workload,mode,k,mean_align,n_valid,n_ovf,pass
ssc,exact,1,0.999992,100,0,1
ssc,exact,2,0.999992,100,0,1
ssc,exact,4,0.999991,100,0,1
ssc,exact,8,0.999992,100,0,1
ssc,exact,16,0.999993,100,0,1
ssc,exact,32,0.999994,100,0,1
ssc,exact,64,0.999999,100,0,1
ssc,exact,128,0.999999,100,0,1
ssc,exact,∞,1.000000,100,0,1
ssc,expnorm,1,1.000000,100,0,1
ssc,expnorm,2,1.000000,100,0,1
ssc,expnorm,4,1.000000,100,0,1
ssc,expnorm,8,1.000000,100,0,1
ssc,expnorm,16,1.000000,100,0,1
ssc,expnorm,32,1.000000,100,0,1
ssc,expnorm,64,1.000000,100,0,1
ssc,expnorm,128,1.000000,100,0,1
ssc,expnorm,∞,1.000000,100,0,1
pi,exact,1,0.999988,100,0,1
pi,exact,2,0.999990,100,0,1
pi,exact,4,0.999989,100,0,1
pi,exact,8,0.999989,100,0,1
pi,exact,16,0.989211,100,0,0
pi,exact,32,0.989151,100,0,0
pi,exact,64,0.989151,100,0,0
pi,exact,128,0.989151,100,0,0
pi,exact,∞,0.000000,100,0,0
pi,expnorm,1,0.999994,100,0,1
pi,expnorm,2,0.999994,100,0,1
pi,expnorm,4,0.999994,100,0,1
pi,expnorm,8,0.999994,100,0,1
pi,expnorm,16,0.989151,100,0,0
pi,expnorm,32,0.989151,100,0,0
pi,expnorm,64,0.989151,100,0,0
pi,expnorm,128,0.989151,100,0,0
pi,expnorm,∞,0.000000,100,0,0
