log10R,R,cond,mean_flip,std_flip,worst_flip,mean_relerr,n_valid
2,100.0,NFE-13 bare,0.00101010101010101,0.0030303030303030303,0.010101010101010102,0.06125850198100963,989
2,100.0,NFE-13+norm,0.00101010101010101,0.0030303030303030303,0.010101010101010102,0.06125850198100963,989
2,100.0,FP8-E4M3 bare,0.04754710368996084,0.023521852328846737,0.08080808080808081,0.4183736630331964,989
2,100.0,FP8-E4M3+norm,0.04754710368996084,0.023521852328846737,0.08080808080808081,0.4183736630331964,989
2,100.0,FP8-E5M2 bare,0.08295299938157082,0.03031150708394126,0.1414141414141414,0.6663144632460246,989
2,100.0,FP8-E5M2+norm,0.08295299938157082,0.03031150708394126,0.1414141414141414,0.6663144632460246,989
2,100.0,BF16 bare,0.001020408163265306,0.0030612244897959173,0.01020408163265306,0.03234422949111926,989
2,100.0,FP16 bare,0.0,0.0,0.0,0.003751122727439419,989
2,100.0,FP8-E4M3+FP32acc,0.0030303030303030303,0.0064678022600331815,0.020202020202020204,0.05899125194799025,989
2,100.0,NFE-13+FP32acc,0.0,0.0,0.0,0.007278150700862031,989
2,100.0,FP8-E5M2+FP32acc,0.008091321377035662,0.009899227310533673,0.030303030303030304,0.12341615215165552,989
4,10000.0,NFE-13 bare,0.0,0.0,0.0,0.04252875071671944,976
4,10000.0,NFE-13+norm,0.0,0.0,0.0,0.04252875071671944,976
4,10000.0,FP8-E4M3 bare,0.02467278193195758,0.014818299667819952,0.052083333333333336,0.2770580331570974,976
4,10000.0,FP8-E4M3+norm,0.02467278193195758,0.014818299667819952,0.052083333333333336,0.2770580331570974,976
4,10000.0,FP8-E5M2 bare,0.06665343269865207,0.02587637438557327,0.11458333333333333,0.5234907052871193,976
4,10000.0,FP8-E5M2+norm,0.06665343269865207,0.02587637438557327,0.11458333333333333,0.5234907052871193,976
4,10000.0,BF16 bare,0.0,0.0,0.0,0.022584143507852636,976
4,10000.0,FP16 bare,0.0,0.0,0.0,0.0034600050979487263,976
4,10000.0,FP8-E4M3+FP32acc,0.002094298245614035,0.0041886682505105025,0.010526315789473684,0.05574464157042248,976
4,10000.0,NFE-13+FP32acc,0.0,0.0,0.0,0.007297782018471803,976
4,10000.0,FP8-E5M2+FP32acc,0.006218673986143562,0.008293223301923969,0.021052631578947368,0.10869897764855313,976
6,1000000.0,NFE-13 bare,0.0,0.0,0.0,0.03994808373830287,979
6,1000000.0,NFE-13+norm,0.0,0.0,0.0,0.03994808373830287,979
6,1000000.0,FP8-E4M3 bare,0.022469460265777598,0.009961611312290812,0.04040404040404041,0.2585865959068903,979
6,1000000.0,FP8-E4M3+norm,0.022469460265777598,0.009961611312290812,0.04040404040404041,0.2585865959068903,979
6,1000000.0,FP8-E5M2 bare,0.05341195615749872,0.022435339599584495,0.09574468085106383,0.43906367968233745,979
6,1000000.0,FP8-E5M2+norm,0.05341195615749872,0.022435339599584495,0.09574468085106383,0.43906367968233745,979
6,1000000.0,BF16 bare,0.0,0.0,0.0,0.018147360193954423,979
6,1000000.0,FP16 bare,0.0,0.0,0.0,0.002804849353023419,979
6,1000000.0,FP8-E4M3+FP32acc,0.0,0.0,0.0,0.05571422784319202,979
6,1000000.0,NFE-13+FP32acc,0.0,0.0,0.0,0.0067590436139595604,979
6,1000000.0,FP8-E5M2+FP32acc,0.008206845171683168,0.007705948342254404,0.020833333333333332,0.11518929918005846,979
8,100000000.0,NFE-13 bare,0.0,0.0,0.0,0.03083529871930822,960
8,100000000.0,NFE-13+norm,0.0,0.0,0.0,0.03083529871930822,960
8,100000000.0,FP8-E4M3 bare,0.019788933883832533,0.013473383980223578,0.041666666666666664,0.20829779472788942,960
8,100000000.0,FP8-E4M3+norm,0.019788933883832533,0.013473383980223578,0.041666666666666664,0.20829779472788942,960
8,100000000.0,FP8-E5M2 bare,0.03640735125779356,0.017525916156978336,0.07291666666666667,0.3411272328020514,960
8,100000000.0,FP8-E5M2+norm,0.03640735125779356,0.017525916156978336,0.07291666666666667,0.3411272328020514,960
8,100000000.0,BF16 bare,0.0,0.0,0.0,0.017405473467739883,960
8,100000000.0,FP16 bare,0.0,0.0,0.0,0.0022051423609429893,960
8,100000000.0,FP8-E4M3+FP32acc,0.0,0.0,0.0,0.05340193761624519,960
8,100000000.0,NFE-13+FP32acc,0.0,0.0,0.0,0.0067168961344722345,960
8,100000000.0,FP8-E5M2+FP32acc,0.006274257432336684,0.005125486316493956,0.010869565217391304,0.10679084291772294,960
10,10000000000.0,NFE-13 bare,0.0,0.0,0.0,0.028636490235866757,964
10,10000000000.0,NFE-13+norm,0.0,0.0,0.0,0.028636490235866757,964
10,10000000000.0,FP8-E4M3 bare,0.010412789049823842,0.008140624541307928,0.021739130434782608,0.19323159269590146,964
10,10000000000.0,FP8-E4M3+norm,0.010412789049823842,0.008140624541307928,0.021739130434782608,0.19323159269590146,964
10,10000000000.0,FP8-E5M2 bare,0.03408927094885361,0.019275426800769258,0.08163265306122448,0.36856186496415,964
10,10000000000.0,FP8-E5M2+norm,0.03408927094885361,0.019275426800769258,0.08163265306122448,0.36856186496415,964
10,10000000000.0,BF16 bare,0.0,0.0,0.0,0.014545719250972968,964
10,10000000000.0,FP16 bare,0.0,0.0,0.0,0.0021015769112649714,964
10,10000000000.0,FP8-E4M3+FP32acc,0.0,0.0,0.0,0.05788844539495751,964
10,10000000000.0,NFE-13+FP32acc,0.0,0.0,0.0,0.006568415152341427,964
10,10000000000.0,FP8-E5M2+FP32acc,0.006197401920698564,0.006878866936826738,0.020833333333333332,0.10969685829912218,964
