R,log10R,cond,mean_relerr,sign_flip,n_valid
100.0,2,NFE-13 bare,0.06125850198100963,0.0010111223458038423,989
100.0,2,NFE-13+norm,0.06125850198100963,0.0010111223458038423,989
100.0,2,FP8-E4M3 bare,0.4183736630331964,0.047522750252780584,989
100.0,2,FP8-E4M3+norm,0.4183736630331964,0.047522750252780584,989
100.0,2,FP8-E5M2 bare,0.6663144632460246,0.08291203235591507,989
100.0,2,FP8-E5M2+norm,0.6663144632460246,0.08291203235591507,989
10000.0,4,NFE-13 bare,0.04252875071671944,0.0,976
10000.0,4,NFE-13+norm,0.04252875071671944,0.0,976
10000.0,4,FP8-E4M3 bare,0.2770580331570974,0.02459016393442623,976
10000.0,4,FP8-E4M3+norm,0.2770580331570974,0.02459016393442623,976
10000.0,4,FP8-E5M2 bare,0.5234907052871193,0.06659836065573771,976
10000.0,4,FP8-E5M2+norm,0.5234907052871193,0.06659836065573771,976
1000000.0,6,NFE-13 bare,0.03994808373830287,0.0,979
1000000.0,6,NFE-13+norm,0.03994808373830287,0.0,979
1000000.0,6,FP8-E4M3 bare,0.2585865959068903,0.02247191011235955,979
1000000.0,6,FP8-E4M3+norm,0.2585865959068903,0.02247191011235955,979
1000000.0,6,FP8-E5M2 bare,0.43906367968233745,0.05311542390194075,979
1000000.0,6,FP8-E5M2+norm,0.43906367968233745,0.05311542390194075,979
100000000.0,8,NFE-13 bare,0.03083529871930822,0.0,960
100000000.0,8,NFE-13+norm,0.03083529871930822,0.0,960
100000000.0,8,FP8-E4M3 bare,0.20829779472788942,0.019791666666666666,960
100000000.0,8,FP8-E4M3+norm,0.20829779472788942,0.019791666666666666,960
100000000.0,8,FP8-E5M2 bare,0.3411272328020514,0.036458333333333336,960
100000000.0,8,FP8-E5M2+norm,0.3411272328020514,0.036458333333333336,960
10000000000.0,10,NFE-13 bare,0.028636490235866757,0.0,964
10000000000.0,10,NFE-13+norm,0.028636490235866757,0.0,964
10000000000.0,10,FP8-E4M3 bare,0.19323159269590146,0.01037344398340249,964
10000000000.0,10,FP8-E4M3+norm,0.19323159269590146,0.01037344398340249,964
10000000000.0,10,FP8-E5M2 bare,0.36856186496415,0.03423236514522822,964
10000000000.0,10,FP8-E5M2+norm,0.36856186496415,0.03423236514522822,964
