regime,k,fmt,bits,mean_align,div_onset,frac_sat,frac_infnan,n
neutral,inf,NFE-13,13,0.9999993626364468,257.0,0.0,0.0,100
neutral,inf,FP8-E4M3,8,0.9999075068929824,257.0,0.0,0.0,100
neutral,inf,FP8-E5M2,8,0.999739960151778,257.0,0.0,0.0,100
neutral,inf,BF16,16,0.9999994461271201,257.0,0.0,0.0,100
neutral,inf,INT8,8,0.999995189707541,257.0,0.0,0.0,100
neutral,32,NFE-13,13,0.9999989319269034,257.0,0.0,0.0,100
neutral,32,FP8-E4M3,8,0.9999293713007608,257.0,0.0,0.0,100
neutral,32,FP8-E5M2,8,0.9996775634288321,257.0,0.0,0.0,100
neutral,32,BF16,16,0.9999995914124267,257.0,0.0,0.0,100
neutral,32,INT8,8,0.9999954079102609,257.0,0.0,0.0,100
neutral,64,NFE-13,13,0.9999994017540287,257.0,0.0,0.0,100
neutral,64,FP8-E4M3,8,0.9999590736900005,257.0,0.0,0.0,100
neutral,64,FP8-E5M2,8,0.9996716210200723,257.0,0.0,0.0,100
neutral,64,BF16,16,0.9999996429239943,257.0,0.0,0.0,100
neutral,64,INT8,8,0.999995670538133,257.0,0.0,0.0,100
neutral,128,NFE-13,13,0.9999987340390644,257.0,0.0,0.0,100
neutral,128,FP8-E4M3,8,0.9999458743995376,257.0,0.0,0.0,100
neutral,128,FP8-E5M2,8,0.9997117627117362,257.0,0.0,0.0,100
neutral,128,BF16,16,0.9999995919566532,257.0,0.0,0.0,100
neutral,128,INT8,8,0.9999949046606238,257.0,0.0,0.0,100
expansive,inf,NFE-13,13,1.0,257.0,1.0,0.0,100
expansive,inf,FP8-E4M3,8,1.0,257.0,1.0,0.0,100
expansive,inf,FP8-E5M2,8,0.9811297322072585,206.78,0.19,0.0,100
expansive,inf,BF16,16,0.9999986484533464,257.0,0.0,0.0,100
expansive,inf,INT8,8,0.9999946272646199,257.0,0.0,0.0,100
expansive,32,NFE-13,13,0.9999949948430471,257.0,0.0,0.0,100
expansive,32,FP8-E4M3,8,0.9997689691927713,257.0,0.0,0.0,100
expansive,32,FP8-E5M2,8,0.9990085762010352,257.0,0.0,0.0,100
expansive,32,BF16,16,0.9999986579794377,257.0,0.0,0.0,100
expansive,32,INT8,8,0.9999951296301878,257.0,0.0,0.0,100
expansive,64,NFE-13,13,0.9999941745093737,257.0,0.0,0.0,100
expansive,64,FP8-E4M3,8,1.0,257.0,1.0,0.0,100
expansive,64,FP8-E5M2,8,0.9989140551498668,257.0,0.0,0.0,100
expansive,64,BF16,16,0.9999982628839189,257.0,0.0,0.0,100
expansive,64,INT8,8,0.9999952976228186,257.0,0.0,0.0,100
expansive,128,NFE-13,13,0.9999943287531956,257.0,0.0,0.0,100
expansive,128,FP8-E4M3,8,1.0,257.0,1.0,0.0,100
expansive,128,FP8-E5M2,8,0.9876389711625189,256.76,0.0,0.0,100
expansive,128,BF16,16,0.9999985001731767,257.0,0.0,0.0,100
expansive,128,INT8,8,0.9999950211709903,257.0,0.0,0.0,100
