cycle,rtl_mean_err_pct
1,0.236340
2,0.230272
3,0.177978
4,0.179737
5,0.179700
6,0.179754
7,0.179754
8,0.179754
9,0.179754
10,0.179754
11,0.179754
12,0.179754
13,0.179754
14,0.179754
15,0.179754
16,0.179754
17,0.179754
18,0.179754
19,0.179754
20,0.179754
21,0.179754
22,0.179754
23,0.179754
24,0.179754
25,0.179754
26,0.179754
27,0.179754
28,0.179754
29,0.179754
30,0.179754
31,0.179754
32,0.179754
33,0.179754
34,0.179754
35,0.179754
36,0.179754
37,0.179754
38,0.179754
39,0.179754
40,0.179754
41,0.179754
42,0.179754
43,0.179754
44,0.179754
45,0.179754
46,0.179754
47,0.179754
48,0.179754
49,0.179754
50,0.179754
51,0.179754
52,0.179754
53,0.179754
54,0.179754
55,0.179754
56,0.179754
57,0.179754
58,0.179754
59,0.179754
60,0.179754
61,0.179754
62,0.179754
63,0.179754
64,0.179754
65,0.179754
66,0.179754
67,0.179754
68,0.179754
69,0.179754
70,0.179754
71,0.179754
72,0.179754
73,0.179754
74,0.179754
75,0.179754
76,0.179754
77,0.179754
78,0.179754
79,0.179754
80,0.179754
81,0.179754
82,0.179754
83,0.179754
84,0.179754
85,0.179754
86,0.179754
87,0.179754
88,0.179754
89,0.179754
90,0.179754
91,0.179754
92,0.179754
93,0.179754
94,0.179754
95,0.179754
96,0.179754
97,0.179754
98,0.179754
99,0.179754
100,0.179754
101,0.179754
102,0.179754
103,0.179754
104,0.179754
105,0.179754
106,0.179754
107,0.179754
108,0.179754
109,0.179754
110,0.179754
111,0.179754
112,0.179754
113,0.179754
114,0.179754
115,0.179754
116,0.179754
117,0.179754
118,0.179754
119,0.179754
120,0.179754
121,0.179754
122,0.179754
123,0.179754
124,0.179754
125,0.179754
126,0.179754
127,0.179754
128,0.179754
129,0.179754
130,0.179754
131,0.179754
132,0.179754
133,0.179754
134,0.179754
135,0.179754
136,0.179754
137,0.179754
138,0.179754
139,0.179754
140,0.179754
141,0.179754
142,0.179754
143,0.179754
144,0.179754
145,0.179754
146,0.179754
147,0.179754
148,0.179754
149,0.179754
150,0.179754
151,0.179754
152,0.179754
153,0.179754
154,0.179754
155,0.179754
156,0.179754
157,0.179754
158,0.179754
159,0.179754
160,0.179754
161,0.179754
162,0.179754
163,0.179754
164,0.179754
165,0.179754
166,0.179754
167,0.179754
168,0.179754
169,0.179754
170,0.179754
171,0.179754
172,0.179754
173,0.179754
174,0.179754
175,0.179754
176,0.179754
177,0.179754
178,0.179754
179,0.179754
180,0.179754
181,0.179754
182,0.179754
183,0.179754
184,0.179754
185,0.179754
186,0.179754
187,0.179754
188,0.179754
189,0.179754
190,0.179754
191,0.179754
192,0.179754
193,0.179754
194,0.179754
195,0.179754
196,0.179754
197,0.179754
198,0.179754
199,0.179754
200,0.179754
201,0.179754
202,0.179754
203,0.179754
204,0.179754
205,0.179754
206,0.179754
207,0.179754
208,0.179754
209,0.179754
210,0.179754
211,0.179754
212,0.179754
213,0.179754
214,0.179754
215,0.179754
216,0.179754
217,0.179754
218,0.179754
219,0.179754
220,0.179754
221,0.179754
222,0.179754
223,0.179754
224,0.179754
225,0.179754
226,0.179754
227,0.179754
228,0.179754
229,0.179754
230,0.179754
231,0.179754
232,0.179754
233,0.179754
234,0.179754
235,0.179754
236,0.179754
237,0.179754
238,0.179754
239,0.179754
240,0.179754
241,0.179754
242,0.179754
243,0.179754
244,0.179754
245,0.179754
246,0.179754
247,0.179754
248,0.179754
249,0.179754
250,0.179754
251,0.179754
252,0.179754
253,0.179754
254,0.179754
255,0.179754
256,0.179754
